name,url,review count,rating,snippet,neighborhood,latitude,longitude,category,type
Bartram House Bakery,http://www.yelp.com/biz/bartram-house-bakery-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,28,4,"Everything about this place  - food, service, atmosphere was A+ I had the filet mignon sandwich, and it was delicious! The bread was soft and fresh, and the...",South Side,40.42731442,-79.96800654,cafes,food
Bea Taco Town,http://www.yelp.com/biz/bea-taco-town-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,40,4.5,I went today for the first time.  I ordered a taco salad with chorizo. I don't think it is an exaggeration to say that it was the best taco salad I've ever...,Downtown,40.442413,-79.997314,mexican,food
Bella Christie's & Lil Z's Sweet Boutique,http://www.yelp.com/biz/bella-christies-and-lil-zs-sweet-boutique-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,21,4,"This shop and their staff are AMAZING!  I'm based in NY and wanted to send a dozen donuts to a client located in Pittsburgh.  

Dimitri was super helpful in...",Lawrenceville,40.464398,-79.966333,donuts,food
Better-Maid Donut,http://www.yelp.com/biz/better-maid-donut-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,24,4.5,"Please please please come back soon!  A few months ago a van actually drove THROUGH the store front.  No one killed, but some injuries.  We miss the donuts...",Crafton Heights,40.44177628,-80.04746246,donuts,food
Bicycle Heaven,http://www.yelp.com/biz/bicycle-heaven-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,35,5,This was one of the highlights of my day in Pittsburgh. It is almost overwhelming to see everything in there.  One of my favorite sections was all the...,North Side,40.45637987,-80.03223081,shopping,shopping
Biddle's Escape,http://www.yelp.com/biz/biddles-escape-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,86,4.5,This little out-of-the-way coffeeshop is well-worth the detour. While the first barista I encountered seemed to be too preoccupied to be friendly everyone...,,40.438137,-79.892113,coffee,food
Big Daddy's Donuts,http://www.yelp.com/biz/big-daddys-donuts-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,12,3.5,After reading some reviews 1 thought  I'd  check it out. It was a Sunday morning and I came in for a dozen. I was surprised at 9am on Sunday the place was...,,40.433853,-80.065926,donuts,food
Big Dog Coffee,http://www.yelp.com/biz/big-dog-coffee-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,153,4.5,"Y'all. I LIVED here when I lived on E. Carson. 
LIVED. 

Its the cutiest-patootiest coffee joint in the area. And now that I've been adulting and...",South Side,40.426003,-79.966652,coffee,food
Big Shot Bob's House of Wings,http://www.yelp.com/biz/big-shot-bobs-house-of-wings-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,43,4.5,"Pittsburgh just hasn't been that great to me for the year or so I've been here. Unless you are willing to visit the Strip and the like, you are stuck with...",Bellevue,40.50378285,-80.06156333,sandwiches,food
Bigham Tavern,http://www.yelp.com/biz/bigham-tavern-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,106,4,"Bruh!

The food here is so good! Being that I love bacon this is a place after my own heart. I had previously studied the pictures and reviews on Yelp and...",Mt. Washington,40.432386,-80.015066,nightlife,nightlife
Bistro To Go,http://www.yelp.com/biz/bistro-to-go-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,33,4,"I ordered the stuffed chicken, roast beef, and garlic mashed potatoes for my mothers 80th birthday party.  The service was not only efficient and friendly,...",North Side,40.453289,-80.001091,sandwiches,food
Black Forge Coffee,http://www.yelp.com/biz/black-forge-coffee-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,11,5,The world is run on small business and Arlington Ave is becoming a small business empire.  Black Forge Coffee is run by Nick and Ashley and has home grown...,Allentown,40.42151642,-79.99243164,coffee,food
Blighty,http://www.yelp.com/biz/blighty-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,1,4,British fare in the 'burgh? A variety of pastys (either fresh or frozen) and grocery items too. The traditional Cornish Pastie was tremendously flavorful...,Strip District,40.4503288,-79.9867935,ethnicmarkets,food
Blue Moon,http://www.yelp.com/biz/blue-moon-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,23,4,"Fun fun times.

Visiting the Pittsburgh area for a quick weekend getaway for football. We love drag so we were found this spot online what an amazing dive...",Lawrenceville,40.4788799,-79.95566,nightlife,nightlife
Bluebird Kitchen,http://www.yelp.com/biz/bluebird-kitchen-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,147,4,"I once asked myself, ""Where do all the young professionals of this fine rust belt city wait in line for fancy carry out lunches?"" 

The answer is Bluebird....",Downtown,40.44046395,-80.00173934,newamerican,food
Bombay Gyro's and Lunch Box,http://www.yelp.com/biz/bombay-gyros-and-lunch-box-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,16,4,"Cheap, quick and easy is just how I like my curry. The aloo baingan, or as I call it the 'eggplant potato-y thing,' is my hands down favorite dish when they...",Downtown,40.4442059,-79.9955278,ethnicmarkets,food
BreadWorks,http://www.yelp.com/biz/breadworks-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,17,4.5,"Why have I not been getting bread from BreadWorks my entire life?  I have never actually been inside BreadWorks, but tons of Pittsburgh restaurants use...",North Side,40.46213531,-80.01896667,bakeries,food
Brew On Broadway,http://www.yelp.com/biz/brew-on-broadway-pittsburgh-2?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,16,4.5,"My favorite coffee shop. I used to drive to Southside to Beehive but this is so close to home and so cozy that I can't stay away. 

The staff is so friendly...",Beechview,40.4108593,-80.0244004,coffee,food
Butcher and the Rye,http://www.yelp.com/biz/butcher-and-the-rye-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,354,4.5,"My go to restaurant every year for my birthday... 
It is my favorite restaurant in the city of Pittsburgh! Whenever I go- I HAVE to get the tartare. It is...",Downtown,40.442334,-80.002066,newamerican,food
Butterjoint,http://www.yelp.com/biz/butterjoint-pittsburgh-3?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,119,4,"holy sweet buttered heaven! the food is brilliantly well thought out. it's approachable and sophisticated.
beef tartare small plate is perfect. the plate...",Oakland,40.44997597,-79.95073719,nightlife,nightlife
Cafe Delhi,http://www.yelp.com/biz/cafe-delhi-carnegie?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,74,4,"Delicious, authentic Indian food and a friendly wait staff.

It can be crowded at lunch time but isn't that one of the ways to gauge how good the food...",Carnegie,40.40804317,-80.08732259,indpak,food
Cafe io,http://www.yelp.com/biz/cafe-io-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,54,4,"This place is EXCELLENT.  I do not go five-star very often.  This is an unassuming, humble, little place on Beverly in Mt. Lebo that vastly exceeded my...",,40.3888702,-80.049881,newamerican,food
Cafe Moulin,http://www.yelp.com/biz/cafe-moulin-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,73,4,Cafe Moulin makes me smile. They are doing classic French crepes right! The menu has an extensive list of both sweet and savory crepes. The ingredients are...,Shadyside,40.45162224,-79.93318538,french,food
Caliban Book Shop,http://www.yelp.com/biz/caliban-book-shop-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,24,4.5,"One of my favorite book shops ever. Has this amazing scent of old books - gosh, I could get high off of the aroma here (don't judge). Also, awesome staff...",Oakland,40.44491,-79.949,shopping,shopping
California Cycle Path Indoor Cycling Studio,http://www.yelp.com/biz/california-cycle-path-indoor-cycling-studio-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,11,5,I love this place. The instructors make everyone feel confortable.  The workouts are scheduled during convenvient hours. Most classes are available...,Brighton Heights,40.48120938,-80.04149772,active,active
Carnegie Museum of Natural History,http://www.yelp.com/biz/carnegie-museum-of-natural-history-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,62,4.5,"Wow! This place was breath taking! 

My boyfriend's work had a 1920's themed event here and it was perfect! 
The architecture was beautiful, so detailed,...",Oakland,40.443424,-79.948845,arts,arts
Carnegie Museums of Pittsburgh,http://www.yelp.com/biz/carnegie-museums-of-pittsburgh-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,49,4.5,This museum is awesome. There's two parts of it: the natural history museum and the art museum. The price of admission gives you access to both so come...,Oakland,40.444011,-79.950361,arts,arts
Carson Street Deli & Craft Beer Bar,http://www.yelp.com/biz/carson-street-deli-and-craft-beer-bar-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,79,4.5,My son has been after me for some time to go here so I took his advice and went. This place is remarkable! Upon entering there is a small bar area along...,South Side,40.42893,-79.98308,sandwiches,food
Casa Rasta,http://www.yelp.com/biz/casa-rasta-pittsburgh-2?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,104,3.5,"(note - they are NOT closed as Yelp is indicating... this is incorrect )

They joined forces with the Berumen family aka Las Palmas ...
Word on the street...",Beechview,40.4052704,-80.0302382,mexican,food
Casa Reyna,http://www.yelp.com/biz/casa-reyna-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,133,3.5,"I love Mexican food, I have eaten at so many establishments I could not remember them if I tried... but this place- This place will go down in my...",Strip District,40.4516855,-79.9833236,mexican,food
Cathedral of Learning,http://www.yelp.com/biz/cathedral-of-learning-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,69,4.5,"If you are looking for something educational and impressive, I highly recommend going to The Nationality Rooms at The Cathedral of Learning. It is only $4...",Oakland,40.44419679,-79.95344545,arts,arts
Chakh Le India,http://www.yelp.com/biz/chakh-le-india-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,15,4,Best Indian food in Oakland: Vinay grinds & mixes his own spices & can customize to your heat preferences since he cooks everything fresh while you wait...,Oakland,40.44521025,-79.95570532,indpak,food
Chan An Restaurant,http://www.yelp.com/biz/chan-an-restaurant-pittsburgh-3?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,12,4.5,"Been eating here for over 20 years!! Always good, hot, and fresh no matter what you get!",,40.439176,-80.071117,chinese,food
Chaya Japanese Cuisine,http://www.yelp.com/biz/chaya-japanese-cuisine-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,174,4,"This is definitely one of the pricier Japanese places around, but you pay for the experience (and the food). From the more traditional and intimate space to...",Squirrel Hill,40.43389,-79.92311,sushi,food
Chengdu Gourmet,http://www.yelp.com/biz/chengdu-gourmet-pittsburgh-2?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,43,3.5,I've gotten delivery from here twice.  Both times the estimated delivery was 70-80 minutes (grubhub) but the food arrived in approximately 30 minutes....,Squirrel Hill,40.4295421,-79.92237256,chinese,food
Children's Museum of Pittsburgh,http://www.yelp.com/biz/childrens-museum-of-pittsburgh-pittsburgh-3?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,40,5,"How much do we love this museum? At least once a year we make the 3.5 hour drive and stay in a hotel just to visit it!

My boys (7 & 8) love it and have...",North Side,40.45270294,-80.00665784,arts,arts
Chinatown Inn,http://www.yelp.com/biz/chinatown-inn-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,82,4,Best Chinese I have got to have in Pittsburgh till date. Loved their pork friend rice and Kung pao chicken . Very friendly staff. Can't wait to go again!,Downtown,40.4371064,-79.99732929,chinese,food
Chipotle Mexican Grill,http://www.yelp.com/biz/chipotle-mexican-grill-pittsburgh-12?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,34,3.5,Call me insane but I have never been to chipotle before until yesterday. Actually I will save you the time and I'll just call myself insane for waiting that...,Downtown,40.44065795,-80.00199326,mexican,food
Clothes Minded,http://www.yelp.com/biz/clothes-minded-pittsburgh-2?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,22,4.5,I freaking love this palace. You can find designer jeans for $19 and rather funky styles that are usually up my alley... especially during the summer...,Bloomfield,40.461206,-79.948711,shopping,shopping
CMU,http://www.yelp.com/biz/cmu-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,1,5,"Carnegie Mellon University is a world class institution for research and education.  It is famous for engineering but also for programs in the sciences,...",Squirrel Hill,40.44324834,-79.94229555,donuts,food
Colangelo's Bakery,http://www.yelp.com/biz/colangelos-bakery-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,25,4.5,"Having my breakfast today cooked by one of the owners (thanks Denise!) by far made it taste like home-cooked love in each dish.  

Get the beans & greens,...",Strip District,40.4515419,-79.9827576,bakeries,food
Commonplace Voluto,http://www.yelp.com/biz/commonplace-voluto-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,72,4.5,Commonplace Poluto. What is this? Some kind of slam directed at Commonplace coffee saying that they are polluting the environment? Or are they just fan of...,Garfield,40.4647789,-79.93341827,coffee,food
Conflict Kitchen,http://www.yelp.com/biz/conflict-kitchen-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,107,4.5,"Such an awesome concept! I visited Carnegie Mellon for the weekend and was told that this place was a must try. At the time I went, Iranian good was being...",Oakland,40.4411427,-79.9535582,ethnicmarkets,food
Conicella Pizza,http://www.yelp.com/biz/conicella-pizza-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,24,4.5,"I loved this place when I lived in Pittsburgh. Fast delivery and cash-only means the price is right. 

Pizza was always a cheesy, greasy pile of delicious....",Greenfield,40.42525,-79.94288,pizza,food
Constellation Coffee,http://www.yelp.com/biz/constellation-coffee-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,46,4.5,"Beautiful atmosphere that makes you want to read or talk or think. Even better coffee. There's a back room with a big table, a few two-seater tables in the...",Lawrenceville,40.46566478,-79.95574388,coffee,food
Coriander India Grill,http://www.yelp.com/biz/coriander-india-grill-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,89,3.5,I never write reviews but this place deserves one. I've tried various items on their VAST menu and everything is delicious. And I've tried a lot of Indian...,Squirrel Hill,40.4326795,-79.92303662,indpak,food
Cure,http://www.yelp.com/biz/cure-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,277,4,I have to say that I had very high expectations going to Cure - especially since we went for the New Year's Eve prix fix dinner (with drink pairings). I...,Lawrenceville,40.4826889,-79.9511566,newamerican,food
Curry Away,http://www.yelp.com/biz/curry-away-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,32,3.5,Delicious food. Our first delivery meal in Pittsburgh was the amazing Pad Thai and Thai Fried Rice. We also tried the Crab Rangoon. They were so good. Maybe...,,40.430382,-79.884117,thai,food
Decade,http://www.yelp.com/biz/decade-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,10,4.5,I was finally able to make it here recently after all these years of living in this city.  Why did I wait so long?  I just wish that Pittsburgh had more...,South Side,40.4289589,-79.9838028,shopping,shopping
Delanie's Coffee,http://www.yelp.com/biz/delanies-coffee-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,77,4.5,"Great coffee, pastry, juice.

Good for people watching. 

Good for meetings. 

Fresh ingredients.",South Side,40.42898941,-79.98074341,coffee,food
Diesel Club Lounge,http://www.yelp.com/biz/diesel-club-lounge-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,44,3.5,"So, I have to say the best club I've been to in a long time is Diesel back home. Nice mix of music, fair dress code and solid bartenders.
I'm from...",South Side,40.4290009,-79.9825363,nightlife,nightlife
Dish Osteria and Bar,http://www.yelp.com/biz/dish-osteria-and-bar-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,146,4.5,"Fantastic food! Delicious cocktails! Great atmosphere. Great vibes.

I still fantasize about the seafood alfredo.",South Side,40.427505,-79.982368,italian,food
Doce Taqueria,http://www.yelp.com/biz/doce-taqueria-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,56,4.5,I stopped here after visiting Dave's Music Mine a couple doors away and they highly recommended it. Man was this place good. It reminds me of the kind of...,South Side,40.42859,-79.9855199,restaurants,food
Donut Shack,http://www.yelp.com/biz/donut-shack-pittsburgh?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,5,4.5,"I love this lil diner!  Been here several times over the years, but this is the first time I could actually check-in since using Yelp.  The Penn Hills...",,40.4831831,-79.82013242,donuts,food
Dunkin' Donuts,http://www.yelp.com/biz/dunkin-donuts-pittsburgh-17?utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=ERehee8c-xBF5R86JGKbYg,7,3.5,"Just want to comment at the awesome staff. I've been here a few times and the staff has been super amazing. To top it all off, I left my wallet and came...",,40.3555107,-80.0498734,donuts,food
